Aae-Bantam_pre	MI0013439
Ami-Mir-1388_pre	MI0029847
Ami-Mir-1397_pre	MI0029848
Ami-Mir-139_pre	MI0029744
Ami-Mir-140-v1_pre	MI0029745
Ami-Mir-140-v2_pre	MI0029745
Ami-Mir-1416_pre	MI0029849
Ami-Mir-142-P3-v1_pre	MI0029746
Ami-Mir-142-P3-v2_pre	MI0029746
Ami-Mir-142-P3-v3_pre	MI0029746
Ami-Mir-142-P3-v4_pre	MI0029746
Ami-Mir-142-P4-v1_pre	MI0029747
Ami-Mir-142-P4-v2_pre	MI0029747
Ami-Mir-142-P4-v3_pre	MI0029747
Ami-Mir-142-P4-v4_pre	MI0029747
Ami-Mir-143_pre	MI0029748
Ami-Mir-144_pre	MI0029749
Ami-Mir-145_pre	MI0029750
Ami-Mir-146-P1_pre	MI0029751
Ami-Mir-146-P2_pre	MI0029752
Ami-Mir-146-P3_pre	MI0029753
Ami-Mir-147-v1_pre	MI0029754
Ami-Mir-147-v2_pre	MI0029754
Ami-Mir-148-P2_pre	MI0029757
Ami-Mir-148-P3_pre	MI0029755
Ami-Mir-15-P1a_pre	MI0029666
Ami-Mir-15-P1b_pre	MI0029667
Ami-Mir-15-P1c_pre	MI0029838
Ami-Mir-15-P1d_pre	MI0029668
Ami-Mir-15-P2a_pre	MI0029669
Ami-Mir-15-P2b_pre	MI0029670
Ami-Mir-15-P2d_pre	MI0029671
Ami-Mir-150_pre	MI0029756
Ami-Mir-153-P1_pre	MI0029758
Ami-Mir-153-P2_pre	MI0029759
Ami-Mir-155_pre	MI0029760
Ami-Mir-1641_pre	MI0029850
Ami-Mir-1662_pre	MI0029851
Ami-Mir-1677-o3_pre	MI0029852
Ami-Mir-1677-o4_pre	MI0029853
Ami-Mir-1677-o5_pre	MI0029854
Ami-Mir-17-P1a_pre	MI0029672
Ami-Mir-17-P1c_pre	MI0029705
Ami-Mir-17-P2a_pre	MI0029673
Ami-Mir-17-P3a_pre	MI0029676
Ami-Mir-17-P3c_pre	MI0029714
Ami-Mir-1720_pre	MI0029855
Ami-Mir-1788_pre	MI0029856
Ami-Mir-1805_pre	MI0029858
Ami-Mir-181-P1a_pre	MI0029761
Ami-Mir-181-P1b_pre	MI0029762
Ami-Mir-181-P1c_pre	MI0029763
Ami-Mir-181-P2a_pre	MI0029764
Ami-Mir-181-P2b_pre	MI0029765
Ami-Mir-181-P2c_pre	MI0029766
Ami-Mir-184_pre	MI0029769
Ami-Mir-187_pre	MI0029770
Ami-Mir-19-P1_pre	MI0029674
Ami-Mir-19-P2a_pre	MI0029675
Ami-Mir-190-P1_pre	MI0029771
Ami-Mir-190-P2_pre	MI0029772
Ami-Mir-191_pre	MI0029773
Ami-Mir-192-P1_pre	MI0029774
Ami-Mir-192-P2_pre	MI0029798
Ami-Mir-193-P1a_pre	MI0029775
Ami-Mir-193-P1b_pre	MI0029776
Ami-Mir-193-P2a_pre	MI0029819
Ami-Mir-193-P2b_pre	MI0029818
Ami-Mir-194-P1_pre	MI0029778
Ami-Mir-194-P2_pre	MI0029777
Ami-Mir-196-P1_pre	MI0029779
Ami-Mir-196-P2_pre	MI0029780
Ami-Mir-196-P3_pre	MI0029781
Ami-Mir-199-P1-v1_pre	MI0029784
Ami-Mir-199-P1-v2_pre	MI0029784
Ami-Mir-199-P1-v3_pre	MI0029784
Ami-Mir-199-P2-v1_pre	MI0029782
Ami-Mir-199-P2-v2_pre	MI0029782
Ami-Mir-199-P2-v3_pre	MI0029782
Ami-Mir-199-P3-v1_pre	MI0029783
Ami-Mir-199-P3-v2_pre	MI0029783
Ami-Mir-199-P3-v3_pre	MI0029783
Ami-Mir-202_pre	MI0029787
Ami-Mir-203-v1_pre	MI0029788
Ami-Mir-203-v2_pre	MI0029788
Ami-Mir-204-P1_pre	MI0029789
Ami-Mir-204-P2_pre	MI0029790
Ami-Mir-205-P1_pre	MI0029791
Ami-Mir-205-P2_pre	MI0029792
Ami-Mir-208-P1_pre	MI0029794
Ami-Mir-210_pre	MI0029795
Ami-Mir-214-v1_pre	MI0029797
Ami-Mir-214-v2_pre	MI0029797
Ami-Mir-216-P1a_pre	MI0029799
Ami-Mir-216-P1b_pre	MI0029800
Ami-Mir-217-v1_pre	MI0029801
Ami-Mir-217-v2_pre	MI0029801
Ami-Mir-218-P1_pre	MI0029802
Ami-Mir-218-P2_pre	MI0029803
Ami-Mir-2184_pre	MI0029859
Ami-Mir-2188_pre	MI0029860
Ami-Mir-219-P1_pre	MI0029804
Ami-Mir-219-P2_pre	MI0029805
Ami-Mir-21_pre	MI0029677
Ami-Mir-221-P1_pre	MI0029806
Ami-Mir-221-P2_pre	MI0029807
Ami-Mir-221-P3_pre	MI0029808
Ami-Mir-223_pre	MI0029809
Ami-Mir-23-P1_pre	MI0029678
Ami-Mir-23-P2_pre	MI0029679
Ami-Mir-24-P1_pre	MI0029681
Ami-Mir-24-P2_pre	MI0029680
Ami-Mir-26-P2_pre	MI0029683
Ami-Mir-26-P3_pre	MI0029682
Ami-Mir-27-P1_pre	MI0029684
Ami-Mir-27-P2_pre	MI0029685
Ami-Mir-29-P1a_pre	MI0029686
Ami-Mir-29-P1b_pre	MI0029687
Ami-Mir-29-P2a-v1_pre	MI0029688
Ami-Mir-29-P2a-v2_pre	MI0029688
Ami-Mir-29-P2b-v1_pre	MI0029689
Ami-Mir-29-P2b-v2_pre	MI0029689
Ami-Mir-2970_pre	MI0029861
Ami-Mir-30-P1a_pre	MI0029690
Ami-Mir-30-P1b_pre	MI0029695
Ami-Mir-30-P1c_pre	MI0029694
Ami-Mir-30-P2a_pre	MI0029693
Ami-Mir-30-P2b_pre	MI0029692
Ami-Mir-30-P2c_pre	MI0029691
Ami-Mir-31_pre	MI0029696
Ami-Mir-32_pre	MI0029697
Ami-Mir-33-P1_pre	MI0029698
Ami-Mir-33-P2_pre	MI0029699
Ami-Mir-338-P1_pre	MI0029816
Ami-Mir-338-P2_pre	MI0029817
Ami-Mir-34-P1_pre	MI0029700
Ami-Mir-34-P2a_pre	MI0029701
Ami-Mir-34-P2b_pre	MI0029702
Ami-Mir-34-P3a_pre	MI0029825
Ami-Mir-34-P3b_pre	MI0029826
Ami-Mir-34-P3c_pre	MI0029827
Ami-Mir-34-P3d_pre	MI0029828
Ami-Mir-375_pre	MI0029821
Ami-Mir-383-v1_pre	MI0029822
Ami-Mir-383-v2_pre	MI0029822
Ami-Mir-425_pre	MI0029823
Ami-Mir-430-P1_pre	MI0029812
Ami-Mir-430-P2_pre	MI0029813
Ami-Mir-430-P3_pre	MI0029814
Ami-Mir-430-P4_pre	MI0029815
Ami-Mir-455_pre	MI0029830
Ami-Mir-456_pre	MI0029831
Ami-Mir-458_pre	MI0029832
Ami-Mir-459_pre	MI0029833
Ami-Mir-460-P1_pre	MI0029834
Ami-Mir-460-P2_pre	MI0029835
Ami-Mir-489-v1_pre	MI0029836
Ami-Mir-489-v2_pre	MI0029836
Ami-Mir-490_pre	MI0029837
Ami-Mir-499_pre	MI0029839
Ami-Mir-551-P1_pre	MI0029840
Ami-Mir-551-P2_pre	MI0029841
Ami-Mir-599_pre	MI0029842
Ami-Mir-7-P1_pre	MI0029655
Ami-Mir-7-P2_pre	MI0029656
Ami-Mir-7-P3_pre	MI0029657
Ami-Mir-7-P4_pre	MI0029658
Ami-Mir-737_pre	MI0029843
Ami-Mir-8-P1a_pre	MI0029785
Ami-Mir-8-P2a_pre	MI0029786
Ami-Mir-8-P3a_pre	MI0029824
Ami-Mir-875_pre	MI0029844
Ami-Mir-9-P1_pre	MI0029659
Ami-Mir-9-P2_pre	MI0029660
Ami-Mir-9-P3_pre	MI0029661
Ami-Mir-9-P4_pre	MI0029662
Ami-Mir-92-P1a_pre	MI0029703
Ami-Mir-92-P1c_pre	MI0029704
Ami-Mir-92-P2a_pre	MI0029820
Ami-Mir-9598_pre	MI0029865
Ami-Mir-9599_pre	MI0029866
Ami-Mir-96-P1_pre	MI0029706
Ami-Mir-96-P2_pre	MI0029767
Ami-Mir-96-P3-v1_pre	MI0029768
